id,country,year,cost_healthy_diet_ppp_usd,annual_cost_healthy_diet_usd,cost_vegetables_ppp_usd,cost_fruits_ppp_usd,total_food_components_cost,continent,cpi
128,Benin,2023,3.3,1204.5,,,,Africa,2.73102465280233
129,Benin,2024,3.39,1237.35,,,,Africa,
130,Bermuda,2017,2.88,1051.2,,,,North America,
131,Bermuda,2018,2.94,1073.1,,,,North America,
132,Bermuda,2019,3.12,1138.8,,,,North America,
133,Bermuda,2020,3.33,1215.45,,,,North America,
134,Bermuda,2021,3.55,1295.75,1.07,0.37,1.44,North America,
135,Bermuda,2022,3.96,1445.4,,,,North America,
136,Bermuda,2023,4.23,1543.95,,,,North America,
137,Bermuda,2024,4.39,1602.35,,,,North America,
138,Bhutan,2017,4.14,1511.1,,,,Asia,4.95508366985129
139,Bhutan,2018,4.31,1573.15,,,,Asia,2.7239638618372
140,Bhutan,2019,4.44,1620.6,,,,Asia,2.7264303738882
141,Bhutan,2020,4.86,1773.9,,,,Asia,5.62936522632514
142,Bhutan,2021,5.14,1876.1,0.99,1.5,2.49,Asia,7.3468144053353
143,Bhutan,2022,5.48,2000.2,,,,Asia,5.63916671396365
144,Bhutan,2023,5.69,2076.8500000000004,,,,Asia,4.22934419929261
145,Bhutan,2024,5.96,2175.4,,,,Asia,
146,Bolivia (Plurinational State of),2017,3.62,1321.3,,,,,
147,Bolivia (Plurinational State of),2018,3.61,1317.65,,,,,
148,Bolivia (Plurinational State of),2019,3.75,1368.75,,,,,
149,Bolivia (Plurinational State of),2020,3.78,1379.6999999999998,,,,,
150,Bolivia (Plurinational State of),2021,3.96,1445.4,0.71,0.67,1.38,,
151,Bolivia (Plurinational State of),2022,4.3,1569.5,,,,,
152,Bolivia (Plurinational State of),2023,4.57,1668.0500000000002,,,,,
153,Bolivia (Plurinational State of),2024,4.82,1759.3000000000002,,,,,
154,Bosnia and Herzegovina,2017,4.07,1485.5500000000002,,,,Europe,0.810039425333895
155,Bosnia and Herzegovina,2018,4.13,1507.45,,,,Europe,1.41710814018034
156,Bosnia and Herzegovina,2019,4.34,1584.1,,,,Europe,0.56278215406123
157,Bosnia and Herzegovina,2020,4.34,1584.1,,,,Europe,-1.0512960076349
158,Bosnia and Herzegovina,2021,4.54,1657.1,1.17,0.73,1.9,Europe,1.98163900587622
159,Bosnia and Herzegovina,2022,5.48,2000.2,,,,Europe,14.0208440826771
160,Bosnia and Herzegovina,2023,5.95,2171.75,,,,Europe,6.1059011284828
161,Bosnia and Herzegovina,2024,6.15,2244.75,,,,Europe,
162,Botswana,2017,3.01,1098.65,,,,Africa,3.30828076768219
163,Botswana,2018,3.0,1095.0,,,,Africa,3.23801558947715
164,Botswana,2019,3.04,1109.6,,,,Africa,2.77286442863321
165,Botswana,2020,3.21,1171.65,,,,Africa,1.8903591682421
166,Botswana,2021,3.41,1244.65,0.58,0.43,1.01,Africa,7.24097765588442
167,Botswana,2022,3.62,1321.3,,,,Africa,11.665567478802
168,Botswana,2023,4.01,1463.65,,,,Africa,5.0676154934383
169,Botswana,2024,4.21,1536.65,,,,Africa,
170,Brazil,2017,3.15,1149.75,,,,South America,3.44637335032669
171,Brazil,2018,3.23,1178.95,,,,South America,3.66485028376729
172,Brazil,2019,3.39,1237.35,,,,South America,3.73297621216894
173,Brazil,2020,3.69,1346.85,,,,South America,3.21176803803376
174,Brazil,2021,3.97,1449.0500000000002,0.69,0.67,1.36,South America,8.30165975585673
175,Brazil,2022,4.39,1602.35,,,,South America,9.28010608956873
176,Brazil,2023,4.55,1660.75,,,,South America,4.59356282283204
177,Brazil,2024,4.69,1711.85,,,,South America,
178,British Virgin Islands,2017,3.5,1277.5,,,,North America,
179,British Virgin Islands,2018,3.53,1288.4499999999998,,,,North America,
180,British Virgin Islands,2019,3.64,1328.6,,,,North America,
181,British Virgin Islands,2020,3.78,1379.6999999999998,,,,North America,
182,British Virgin Islands,2021,3.94,1438.1,0.97,0.92,1.89,North America,
183,British Virgin Islands,2022,4.78,1744.7,,,,North America,
184,British Virgin Islands,2023,5.05,1843.25,,,,North America,
185,British Virgin Islands,2024,5.23,1908.95,,,,North America,
186,Brunei Darussalam,2017,4.11,1500.15,,,,,-1.2605056462896
187,Brunei Darussalam,2018,4.26,1554.9,,,,,1.02505179290212
188,Brunei Darussalam,2019,4.36,1591.4,,,,,-0.390522069165529
189,Brunei Darussalam,2020,4.55,1660.75,,,,,1.94031996607184
190,Brunei Darussalam,2021,4.85,1770.2499999999998,1.3,0.93,2.23,,1.73341388450593
191,Brunei Darussalam,2022,5.32,1941.8,,,,,3.68225030604216
192,Brunei Darussalam,2023,5.67,2069.55,,,,,0.35706431153689
193,Brunei Darussalam,2024,5.89,2149.85,,,,,
194,Bulgaria,2017,3.39,1237.35,,,,Europe,2.06159619443141
195,Bulgaria,2018,3.47,1266.5500000000002,,,,Europe,2.81454473824829
196,Bulgaria,2019,3.67,1339.55,,,,Europe,3.10372944796781
197,Bulgaria,2020,3.8,1387.0,,,,Europe,1.67244096855756
198,Bulgaria,2021,3.93,1434.45,0.85,0.87,1.72,Europe,3.29774435299515
199,Bulgaria,2022,4.72,1722.8,,,,Europe,15.3252589264366
200,Bulgaria,2023,5.16,1883.4,,,,Europe,9.44284140088564
201,Bulgaria,2024,5.32,1941.8,,,,Europe,
202,Burkina Faso,2017,2.77,1011.05,,,,Africa,1.48299897161325
203,Burkina Faso,2018,2.82,1029.3,,,,Africa,1.95594302672523
204,Burkina Faso,2019,2.72,992.8,,,,Africa,-3.2333893398333
205,Burkina Faso,2020,2.8,1022.0,,,,Africa,1.88443993781991
206,Burkina Faso,2021,2.97,1084.0500000000002,0.57,0.39,0.96,Africa,3.65353287214209
207,Burkina Faso,2022,3.48,1270.2,,,,Africa,14.2902354303358
208,Burkina Faso,2023,3.55,1295.75,,,,Africa,0.742910428668841
209,Burkina Faso,2024,3.73,1361.45,,,,Africa,
210,Burundi,2017,3.4,1241.0,,,,Africa,16.0525353030392
211,Burundi,2018,3.12,1138.8,,,,Africa,-2.81469807668465
212,Burundi,2019,3.1,1131.5,,,,Africa,-0.686772170797359
213,Burundi,2020,3.33,1215.45,,,,Africa,7.32110643415521
214,Burundi,2021,3.54,1292.1,0.42,0.45,0.87,Africa,8.40453845076341
215,Burundi,2022,4.0,1460.0,,,,Africa,18.8008786664945
216,Burundi,2023,4.5,1642.5,,,,Africa,26.9414835762453
217,Burundi,2024,4.55,1660.75,,,,Africa,
218,Cabo Verde,2017,3.16,1153.4,,,,Africa,0.784415251101334
219,Cabo Verde,2018,2.92,1065.8,,,,Africa,1.25699566690509
220,Cabo Verde,2019,2.86,1043.9,,,,Africa,1.10666674296063
221,Cabo Verde,2020,2.83,1032.95,,,,Africa,0.605795808395385
222,Cabo Verde,2021,2.92,1065.8,0.96,0.51,1.47,Africa,1.86215297494647
223,Cabo Verde,2022,3.38,1233.7,,,,Africa,7.93092925430087
224,Cabo Verde,2023,3.69,1346.85,,,,Africa,3.72437517668748
225,Cabo Verde,2024,3.81,1390.65,,,,Africa,
226,Cambodia,2017,3.55,1295.75,,,,Asia,2.91263557371478
227,Cambodia,2018,3.62,1321.3,,,,Asia,2.45908515380146
228,Cambodia,2019,3.68,1343.2,,,,Asia,1.94257500833107
229,Cambodia,2020,3.84,1401.6,,,,Asia,2.9402951426397
230,Cambodia,2021,3.95,1441.75,1.03,0.56,1.59,Asia,2.92073477592949
231,Cambodia,2022,4.25,1551.25,,,,Asia,5.34370264895437
232,Cambodia,2023,4.47,1631.55,,,,Asia,2.12746796594194
233,Cambodia,2024,4.6,1678.9999999999998,,,,Asia,
234,Cameroon,2017,2.6,949.0,,,,Africa,0.64040914988195
235,Cameroon,2018,2.74,1000.1,,,,Africa,1.0688581131292
236,Cameroon,2019,2.9,1058.5,,,,Africa,2.45280214062732
237,Cameroon,2020,3.1,1131.5,,,,Africa,2.43760882182236
238,Cameroon,2021,3.41,1244.65,0.39,0.27,0.66,Africa,2.27185762503637
239,Cameroon,2022,3.9,1423.5,,,,Africa,6.24767713343861
240,Cameroon,2023,4.2,1533.0,,,,Africa,7.38281384280984
241,Cameroon,2024,4.38,1598.7,,,,Africa,
242,Canada,2017,3.08,1124.2,,,,North America,1.59688412852977
243,Canada,2018,3.13,1142.45,,,,North America,2.26822567248103
244,Canada,2019,3.19,1164.35,,,,North America,1.94926902411593
245,Canada,2020,3.33,1215.45,,,,North America,0.716999632307827
246,Canada,2021,3.52,1284.8,0.88,0.91,1.79,North America,3.39519318527528
247,Canada,2022,3.92,1430.8,,,,North America,6.80280115341613
248,Canada,2023,4.27,1558.55,,,,North America,3.87900159788426
249,Canada,2024,4.39,1602.35,,,,North America,
250,Cayman Islands,2017,3.5,1277.5,,,,North America,
251,Cayman Islands,2018,3.64,1328.6,,,,North America,
252,Cayman Islands,2019,3.61,1317.65,,,,North America,
253,Cayman Islands,2020,3.81,1390.65,,,,North America,
254,Cayman Islands,2021,4.09,1492.85,0.89,1.19,2.08,North America,
255,Cayman Islands,2022,4.33,1580.45,,,,North America,
256,Cayman Islands,2023,4.61,1682.65,,,,North America,
257,Cayman Islands,2024,4.7,1715.5,,,,North America,
258,Central African Republic,2017,2.95,1076.75,,,,Africa,4.18072331871267
259,Central African Republic,2018,3.08,1124.2,,,,Africa,1.61215686991555
260,Central African Republic,2019,3.22,1175.3000000000002,,,,Africa,2.68537355266787
261,Central African Republic,2020,3.38,1233.7,,,,Africa,1.71015659523153
262,Central African Republic,2021,3.63,1324.95,0.94,0.23,1.17,Africa,4.25936417542868
263,Central African Republic,2022,3.92,1430.8,,,,Africa,5.58316735183247
264,Central African Republic,2023,4.08,1489.2,,,,Africa,2.97913852618937
265,Central African Republic,2024,4.21,1536.65,,,,Africa,
266,Chad,2017,2.82,1029.3,,,,Africa,-1.53709962980849
267,Chad,2018,2.8,1022.0,,,,Africa,4.27462198610545
268,Chad,2019,2.8,1022.0,,,,Africa,-0.971939175419317
269,Chad,2020,2.95,1076.75,,,,Africa,4.4641443723286
270,Chad,2021,3.04,1109.6,0.43,0.27,0.7,Africa,-0.772844370359139
271,Chad,2022,3.49,1273.85,,,,Africa,5.78802687843616
272,Chad,2023,3.77,1376.05,,,,Africa,10.8363568399842
273,Chad,2024,3.94,1438.1,,,,Africa,
274,Chile,2017,3.38,1233.7,,,,South America,2.18271846868519
275,Chile,2018,3.52,1284.8,,,,South America,2.43488981353057
276,Chile,2019,3.66,1335.9,,,,South America,2.55754475703327
277,Chile,2020,3.79,1383.35,,,,South America,3.04549084804334
278,Chile,2021,3.87,1412.55,1.05,0.75,1.8,South America,4.52456838259121
279,Chile,2022,4.42,1613.3,,,,South America,11.6438667110561
280,Chile,2023,5.04,1839.6,,,,South America,7.58168251407969
281,Chile,2024,5.22,1905.3,,,,South America,
282,"China, Hong Kong SAR",2017,3.33,1215.45,,,,,
283,"China, Hong Kong SAR",2018,3.44,1255.6,,,,,
284,"China, Hong Kong SAR",2019,3.78,1379.6999999999998,,,,,
285,"China, Hong Kong SAR",2020,4.04,1474.6,,,,,
286,"China, Hong Kong SAR",2021,4.2,1533.0,0.92,0.81,1.73,,
287,"China, Hong Kong SAR",2022,4.65,1697.2500000000002,,,,,
288,"China, Hong Kong SAR",2023,4.77,1741.05,,,,,
289,"China, Hong Kong SAR",2024,4.81,1755.65,,,,,
290,"China, Taiwan Province of",2017,4.0,1460.0,,,,,
291,"China, Taiwan Province of",2021,4.95,1806.75,1.15,0.75,1.9,,
292,"China, mainland",2017,2.8,1022.0,,,,,
293,"China, mainland",2018,2.82,1029.3,,,,,
294,"China, mainland",2019,3.0,1095.0,,,,,
295,"China, mainland",2020,3.25,1186.25,,,,,
296,"China, mainland",2021,3.13,1142.45,0.6,0.74,1.34,,
297,"China, mainland",2022,3.41,1244.65,,,,,
298,"China, mainland",2023,3.53,1288.4499999999998,,,,,
299,"China, mainland",2024,3.6,1314.0,,,,,
300,Colombia,2017,2.84,1036.6,,,,South America,4.31431325695011
301,Colombia,2018,2.87,1047.55,,,,South America,3.24056932930569
302,Colombia,2019,2.95,1076.75,,,,South America,3.52301932741447
303,Colombia,2020,3.15,1149.75,,,,South America,2.52663500084706
304,Colombia,2021,3.3,1204.5,0.8,0.53,1.33,South America,3.49505757399448
305,Colombia,2022,4.06,1481.9,,,,South America,10.1772313546166
306,Colombia,2023,4.69,1711.85,,,,South America,11.7359044948689
307,Colombia,2024,4.67,1704.55,,,,South America,
308,Comoros,2017,4.61,1682.65,,,,Africa,
309,Comoros,2018,4.55,1660.75,,,,Africa,
310,Comoros,2019,4.54,1657.1,,,,Africa,
311,Comoros,2020,4.49,1638.85,,,,Africa,
312,Comoros,2021,4.48,1635.2,1.14,0.47,1.61,Africa,
313,Comoros,2022,4.75,1733.75,,,,Africa,
314,Comoros,2023,4.93,1799.4499999999998,,,,Africa,
315,Comoros,2024,5.14,1876.1,,,,Africa,
316,Congo,2017,3.04,1109.6,,,,,
317,Congo,2018,3.16,1153.4,,,,,
318,Congo,2019,3.24,1182.6,,,,,
319,Congo,2020,3.43,1251.95,,,,,
320,Congo,2021,3.74,1365.1,0.77,0.41,1.18,,
321,Congo,2022,4.16,1518.4,,,,,
322,Congo,2023,4.33,1580.45,,,,,
323,Congo,2024,4.43,1616.9499999999998,,,,,
324,Costa Rica,2017,3.54,1292.1,,,,North America,1.62590692991732
325,Costa Rica,2018,3.58,1306.7,,,,North America,2.22111461526581
326,Costa Rica,2019,3.67,1339.55,,,,North America,2.09604635327807
327,Costa Rica,2020,3.56,1299.4,,,,North America,0.724911478131376
328,Costa Rica,2021,3.7,1350.5,0.86,0.58,1.44,North America,1.72647755109241
329,Costa Rica,2022,4.13,1507.45,,,,North America,8.27477490232654
330,Costa Rica,2023,4.52,1649.8,,,,North America,0.525193508693455
331,Costa Rica,2024,4.62,1686.3,,,,North America,
332,Croatia,2017,3.31,1208.15,,,,Europe,1.12937210282347
333,Croatia,2018,3.35,1222.75,,,,Europe,1.50012501041756
334,Croatia,2019,3.44,1255.6,,,,Europe,0.771820346498019
335,Croatia,2020,3.53,1288.4499999999998,,,,Europe,0.154811374562106
336,Croatia,2021,3.71,1354.15,0.88,0.76,1.64,Europe,2.55450699642041
337,Croatia,2022,4.21,1536.65,,,,Europe,10.7805806758686
338,Croatia,2023,4.52,1649.8,,,,Europe,7.9412817758683
339,Croatia,2024,4.7,1715.5,,,,Europe,
340,Cura̤ao,2017,2.95,1076.75,,,,,
341,Cura̤ao,2018,3.13,1142.45,,,,,
342,Cura̤ao,2019,3.35,1222.75,,,,,
343,Cura̤ao,2020,3.65,1332.25,,,,,
344,Cura̤ao,2021,4.0,1460.0,0.97,1.0,1.97,,
345,Cura̤ao,2022,4.44,1620.6,,,,,
346,Cura̤ao,2023,5.01,1828.65,,,,,
347,Cura̤ao,2024,5.54,2022.1,,,,,
348,Cyprus,2017,2.89,1054.85,,,,Asia,0.531766496174467
349,Cyprus,2018,2.93,1069.45,,,,Asia,1.43549119531759
350,Cyprus,2019,3.04,1109.6,,,,Asia,0.250370996758493
351,Cyprus,2020,3.14,1146.1,,,,Asia,-0.638422797978959
352,Cyprus,2021,3.1,1131.5,0.72,0.73,1.45,Asia,2.44608867175474
353,Cyprus,2022,3.44,1255.6,,,,Asia,8.39548297993334
354,Cyprus,2023,3.65,1332.25,,,,Asia,3.54134188751663
355,Cyprus,2024,3.82,1394.3,,,,Asia,
356,Czechia,2017,2.81,1025.65,,,,Europe,2.4505339846014
357,Czechia,2018,2.83,1032.95,,,,Europe,2.14949494949493
358,Czechia,2019,2.97,1084.0500000000002,,,,Europe,2.8478759591805
359,Czechia,2020,3.0,1095.0,,,,Europe,3.16129528497801
360,Czechia,2021,2.9,1058.5,0.72,0.61,1.33,Europe,3.83984491500146
361,Czechia,2022,3.36,1226.4,,,,Europe,15.1001651468371
362,Czechia,2023,3.65,1332.25,,,,Europe,10.6612601372426
363,Czechia,2024,3.58,1306.7,,,,Europe,
364,C̫te d'Ivoire,2017,2.66,970.9,,,,,
365,C̫te d'Ivoire,2018,2.69,981.85,,,,,
366,C̫te d'Ivoire,2019,2.66,970.9,,,,,
367,C̫te d'Ivoire,2020,2.73,996.45,,,,,
368,C̫te d'Ivoire,2021,2.91,1062.15,0.31,0.27,0.5800000000000001,,
369,C̫te d'Ivoire,2022,3.25,1186.25,,,,,
370,C̫te d'Ivoire,2023,3.45,1259.25,,,,,
371,C̫te d'Ivoire,2024,3.58,1306.7,,,,,
372,Democratic Republic of the Congo,2017,4.27,1558.55,,,,,
373,Democratic Republic of the Congo,2018,3.46,1262.9,,,,,
374,Democratic Republic of the Congo,2019,3.44,1255.6,,,,,
375,Democratic Republic of the Congo,2020,3.21,1171.65,,,,,
376,Democratic Republic of the Congo,2021,3.11,1135.15,0.3,0.27,0.5700000000000001,,
377,Democratic Republic of the Congo,2022,3.38,1233.7,,,,,
378,Democratic Republic of the Congo,2023,3.55,1295.75,,,,,
379,Democratic Republic of the Congo,2024,3.46,1262.9,,,,,
380,Denmark,2017,2.2,803.0000000000001,,,,Europe,1.14713216957602
381,Denmark,2018,2.26,824.9,,,,Europe,0.813609467455631
382,Denmark,2019,2.34,854.0999999999999,,,,Europe,0.75813157251162
383,Denmark,2020,2.41,879.6500000000001,,,,Europe,0.420711974110115
384,Denmark,2021,2.49,908.85,0.66,0.6,1.26,Europe,1.8530454398968
385,Denmark,2022,2.72,992.8,,,,Europe,7.6965669988926
386,Denmark,2023,2.94,1073.1,,,,Europe,3.30517811237606
387,Denmark,2024,3.03,1105.9499999999998,,,,Europe,
388,Djibouti,2017,2.97,1084.0500000000002,,,,Africa,0.568112117084804
389,Djibouti,2018,3.0,1095.0,,,,Africa,0.14797084987711
390,Djibouti,2019,3.1,1131.5,,,,Africa,3.31925372703827
391,Djibouti,2020,3.24,1182.6,,,,Africa,1.7774078380617
392,Djibouti,2021,3.4,1241.0,0.64,0.46,1.1,Africa,1.18191775339802
393,Djibouti,2022,3.86,1408.9,,,,Africa,5.17980847967061
394,Djibouti,2023,4.06,1481.9,,,,Africa,1.49506816515088
395,Djibouti,2024,4.2,1533.0,,,,Africa,
396,Dominica,2017,4.28,1562.2,,,,North America,0.296252889279487
397,Dominica,2018,4.55,1660.75,,,,North America,0.98919111918989
398,Dominica,2019,4.75,1733.75,,,,North America,1.50462353858141
399,Dominica,2020,5.0,1825.0,,,,North America,-0.727116412668203
400,Dominica,2021,5.26,1919.9,1.62,0.9,2.52,North America,1.4831944499819
401,Dominica,2022,5.69,2076.8500000000004,,,,North America,7.7806152516404
402,Dominica,2023,6.08,2219.2,,,,North America,4.22769324983409
403,Dominica,2024,6.36,2321.4,,,,North America,
404,Dominican Republic,2017,3.39,1237.35,,,,North America,3.27955694678546
405,Dominican Republic,2018,3.48,1270.2,,,,North America,3.56443426013508
406,Dominican Republic,2019,3.74,1365.1,,,,North America,1.81060377042959
407,Dominican Republic,2020,4.05,1478.25,,,,North America,3.78103179915517
